"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Oct 21 19:02:05 UTC 2025","Tue Oct 21 19:02:38 UTC 2025","32456","tests","test_search_product","","","","test_search_customer[search_data0-chrome]",""
"broken","Tue Oct 21 19:02:40 UTC 2025","Tue Oct 21 19:03:12 UTC 2025","32602","tests","test_search_product","","","","test_search_customer[search_data1-chrome]",""
