"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Oct 22 08:50:15 UTC 2025","Wed Oct 22 08:50:27 UTC 2025","12016","tests","test_add_address","","","","test_add_address[login_data0-address_data1-edge]",""
"broken","Wed Oct 22 08:50:03 UTC 2025","Wed Oct 22 08:50:15 UTC 2025","11900","tests","test_add_address","","","","test_add_address[login_data0-address_data1-chrome]",""
"broken","Wed Oct 22 08:49:19 UTC 2025","Wed Oct 22 08:49:32 UTC 2025","13154","tests","test_add_address","","","","test_add_address[login_data0-address_data0-chrome]",""
"broken","Wed Oct 22 08:50:40 UTC 2025","Wed Oct 22 08:50:53 UTC 2025","12501","tests","test_add_address","","","","test_add_address[login_data0-address_data2-edge]",""
"broken","Wed Oct 22 08:49:49 UTC 2025","Wed Oct 22 08:50:03 UTC 2025","13392","tests","test_add_address","","","","test_add_address[login_data0-address_data0-edge]",""
"broken","Wed Oct 22 08:50:28 UTC 2025","Wed Oct 22 08:50:40 UTC 2025","11911","tests","test_add_address","","","","test_add_address[login_data0-address_data2-chrome]",""
"broken","Wed Oct 22 08:50:53 UTC 2025","Wed Oct 22 08:51:05 UTC 2025","11842","tests","test_add_address","","","","test_add_address[login_data0-address_data3-chrome]",""
